age,income,account_balance,transactions_last_30d,is_premium,target
43,74817,18327,17,0,0
62,77652,11933,18,0,0
63,83452,21866,16,1,1
77,49321,9625,20,1,0
33,109713,8756,22,0,0
79,88818,6094,26,0,0
68,55605,14939,27,1,1
41,69263,7279,15,0,0
46,51635,7752,20,0,1
62,52295,2656,15,0,0
58,62965,15885,23,1,1
69,58477,0,16,1,0
43,58602,0,10,0,0
25,59300,17229,17,0,0
27,70599,5040,23,0,0
53,41294,11277,25,0,0
53,91874,8876,19,1,1
70,48997,1320,21,1,0
68,87057,344,17,0,0
34,67846,0,15,0,0
71,46968,5022,22,1,0
47,85873,0,23,1,1
69,48491,6752,24,0,0
26,72936,5677,20,1,1
21,97422,13836,21,0,0
27,69179,1580,25,0,0
49,85090,0,20,1,0
58,39092,9635,16,1,0
39,34245,0,22,0,0
58,72525,9203,18,1,0
27,29775,3757,17,0,0
20,91896,0,23,0,0
62,15000,3186,19,0,0
76,56801,14355,21,1,1
43,26339,6484,28,1,1
57,55594,6380,16,0,0
64,37802,0,20,0,0
67,76608,2778,17,0,0
66,26321,8322,19,1,1
61,78400,0,20,0,1
62,43188,165,12,1,0
68,102319,19191,19,0,1
27,100708,15768,23,0,1
52,56978,6528,14,0,1
25,35349,2982,21,1,0
63,91523,8517,17,0,1
51,85241,12945,21,0,0
57,63002,9140,33,0,1
53,60669,3535,20,0,0
65,70761,7823,25,1,1
38,74586,1711,14,0,0
34,66129,3235,27,0,0
31,88954,4906,21,1,1
65,49674,12336,18,1,1
44,15000,8413,17,0,0
44,75144,11668,26,0,0
43,69823,3442,15,0,0
36,96419,17110,13,0,0
45,53263,0,24,0,0
79,62164,0,17,0,0
68,68648,11527,17,0,0
22,33848,15845,26,1,0
58,33455,2593,15,0,0
63,77084,0,23,1,0
19,100270,3745,21,0,0
37,101412,15862,19,1,1
22,83899,1203,23,0,0
52,31256,7441,12,0,0
54,40312,6884,22,1,0
73,74839,1204,13,1,0
68,62845,16544,23,1,0
27,54286,9086,14,1,0
62,103830,428,17,1,1
63,51511,0,19,1,0
62,69528,0,23,1,0
20,44133,7808,20,0,0
46,79549,6907,25,0,0
42,81614,5261,14,1,0
22,61873,0,19,1,0
19,58408,0,13,0,0
50,74086,26118,29,0,1
48,97467,11351,25,0,1
31,69279,8217,18,1,1
48,73093,0,18,0,0
65,73969,0,11,0,1
77,74194,90,23,0,0
42,46833,4847,26,0,0
37,91589,7738,24,0,0
69,82835,0,15,0,0
69,84475,9413,18,1,1
47,99215,12672,20,0,0
28,28583,12033,19,0,0
73,85032,1034,21,1,0
51,60360,9298,16,1,0
23,15000,0,21,1,0
36,95766,5783,20,1,1
72,90555,13012,12,1,1
42,55684,14153,20,0,0
59,47362,8402,26,1,1
55,53873,5095,14,1,0
75,66086,12882,12,0,0
37,98162,7492,25,0,0
56,52990,12162,14,0,0
58,79972,13944,12,0,0
63,76216,3131,28,0,0
60,52558,17242,24,0,0
19,48740,6871,25,1,0
49,59689,0,22,1,0
27,74538,7553,15,0,0
58,45009,0,18,1,0
21,66536,0,19,1,0
65,69335,9596,17,1,1
43,134078,6659,18,0,0
79,89228,6611,20,1,0
73,72480,15783,17,1,1
79,39209,11278,23,1,1
44,117357,16426,15,0,1
77,97614,0,17,1,0
63,91812,2278,17,0,0
28,53951,11036,13,0,0
38,38025,4070,21,0,0
42,88754,0,25,0,0
51,60472,15592,14,0,1
42,94825,0,22,0,0
59,41805,10287,23,0,0
67,23394,3719,18,0,0
58,51122,0,21,1,0
58,77308,11746,16,0,0
42,47393,9957,17,1,0
33,78436,7164,19,0,0
23,116428,590,20,0,1
37,66599,7302,20,0,0
63,53326,0,18,0,0
32,98013,5627,20,0,0
60,49499,7332,19,0,0
43,20584,7297,15,0,0
37,81390,0,22,1,0
34,62730,20732,21,0,0
56,66799,11767,24,0,0
72,72536,6708,26,1,0
25,54120,664,28,1,0
38,66212,5150,19,0,0
60,51029,3974,23,0,0
58,67613,26399,25,0,0
53,37489,0,27,0,1
35,89685,5453,18,0,0
44,85031,18585,20,0,0
74,40017,7025,23,1,0
22,54357,4486,21,1,0
78,57306,0,20,1,1
23,66182,4345,21,1,0
57,39084,2043,29,0,0
22,102236,8217,18,0,0
50,52154,5673,18,1,1
51,49907,0,24,0,0
42,131989,8999,11,1,1
52,85407,19696,10,0,1
61,114089,0,20,0,1
30,84791,140,17,0,0
41,70437,13109,21,1,0
31,75685,3457,18,1,1
22,99746,11066,17,1,0
73,77294,8812,24,1,1
29,104656,0,17,0,0
76,34210,3360,24,0,1
25,42615,2336,19,0,0
56,64203,2626,22,0,1
69,109840,7577,20,1,1
68,59056,9222,24,1,0
52,80440,2137,27,0,0
25,77839,17837,26,0,1
68,81462,18009,17,1,1
69,65207,489,23,0,0
58,104818,0,19,1,0
42,110189,12057,23,0,0
38,15000,9833,29,1,0
27,33978,9504,24,0,0
51,92539,14742,26,0,0
62,66123,285,14,0,0
52,100162,5775,22,0,0
45,55837,5576,15,0,0
64,66153,9170,21,0,0
69,56733,0,14,1,0
47,70829,12641,19,0,0
46,61215,18324,21,0,0
47,49459,0,17,1,0
71,40996,10346,23,0,0
28,61861,8287,17,0,0
19,86112,0,13,1,1
64,111660,15639,16,0,0
44,35544,18193,20,0,0
78,76392,11491,25,0,0
65,16088,9000,17,0,0
43,105459,306,23,0,0
65,27245,10547,22,0,1
