age,income,account_balance,transactions_last_30d,is_premium,target
41,96779,2365,16,0,0
71,30217,4317,27,0,0
46,39826,6784,21,0,0
41,82814,8402,24,1,1
64,50496,10981,19,0,0
19,82662,0,23,1,0
48,95644,13063,16,1,0
77,68688,18598,21,1,0
38,63057,0,25,1,0
39,87881,0,19,0,0
66,117813,3358,13,0,0
34,75363,12257,20,0,0
40,18911,17050,24,0,0
53,63092,0,24,0,0
30,81819,12057,26,0,0
55,68674,5843,16,0,0
46,99611,8163,19,0,0
29,100867,18541,16,0,0
53,81650,0,27,0,1
39,70731,10598,24,1,0
20,76084,3981,18,1,0
43,70629,10966,16,1,0
76,99758,15676,25,0,1
19,90303,1380,15,0,0
34,52212,1776,23,1,0
77,96551,1551,25,0,0
26,65353,2346,22,0,0
45,45983,16841,29,0,0
57,63021,3420,14,0,0
29,87009,15628,19,0,0
20,51380,12115,16,0,0
21,77435,2594,18,0,0
69,17627,0,21,0,0
21,133363,0,26,0,0
35,77067,10620,22,0,0
32,98114,14380,11,0,0
34,65711,1538,23,1,0
51,116199,6019,15,0,0
37,60301,9010,26,1,0
31,64626,0,27,0,0
34,61119,8221,17,1,0
24,57908,8991,19,1,0
30,73023,0,22,0,0
47,55766,11712,18,0,0
39,96100,21525,26,0,0
18,59043,19122,19,0,0
37,32339,11848,26,0,0
77,61070,1384,20,0,0
72,67206,5308,23,0,0
46,15000,6410,26,1,0
63,76435,186,16,0,0
65,48702,7140,23,0,0
69,88423,3750,17,0,0
24,105376,11140,15,0,0
42,75411,0,28,1,0
73,100165,5240,23,1,0
78,47973,0,17,1,0
48,55859,0,21,0,0
40,61993,7857,13,1,1
65,75391,12722,24,0,0
29,57850,0,18,0,0
66,58438,12150,17,0,0
78,29183,8063,10,0,0
43,37943,6966,15,0,0
39,106472,0,20,0,0
68,84208,0,16,1,0
47,87344,13461,19,0,0
30,97097,12750,24,1,0
60,104133,7177,12,0,0
37,113050,0,16,0,0
46,85936,2367,18,0,0
28,85234,0,20,0,0
69,87735,12429,20,0,0
43,38181,11791,14,0,1
51,65402,8880,15,0,0
74,57166,15437,21,0,0
48,81474,10233,28,0,0
76,55518,6318,15,1,0
31,64510,8784,16,1,0
64,102184,0,16,0,0
61,49421,11691,19,0,0
55,64506,12466,26,1,1
42,60146,10603,15,0,0
63,98492,0,23,0,0
47,67761,10140,24,0,0
18,55906,2852,16,0,0
78,101333,715,19,1,0
44,103411,620,26,0,0
42,50459,6857,10,0,1
69,61911,794,20,0,0
