age,income,account_balance,transactions_last_30d,is_premium,target
60,107435,2395,23,0,0
40,81897,410,17,0,0
69,54834,19000,15,0,0
46,87346,15917,18,1,0
38,61239,10452,19,0,0
72,86212,12494,24,0,0
75,124357,4302,13,1,0
69,73590,12058,12,1,0
52,18773,4433,18,0,0
68,95353,0,19,0,0
69,69886,0,17,0,0
66,56891,6131,17,0,0
50,71453,1689,23,0,0
31,46239,10418,13,0,0
67,71381,2333,19,0,0
43,95334,6698,19,0,0
27,133523,17513,18,0,1
43,59112,15152,18,0,0
59,77957,0,28,0,0
37,100361,8746,9,1,0
52,65459,0,18,0,0
52,76688,6730,26,0,0
37,100918,16824,20,0,0
33,65623,0,34,1,0
25,110978,9115,28,0,0
62,17313,6106,15,1,0
76,95120,12107,22,1,0
29,66709,2841,22,0,0
28,76030,8206,21,1,0
23,101505,0,19,1,0
33,40210,5045,23,0,0
59,79736,7805,16,1,0
26,76304,11538,21,0,0
39,49200,6053,17,0,0
47,44574,10609,17,0,0
18,97714,7777,20,1,0
21,35198,3762,12,1,0
56,94668,7381,14,1,0
73,89458,0,14,0,0
71,93865,7685,21,1,0
60,98855,10785,16,1,0
37,63827,4581,13,1,0
24,61882,12318,18,0,0
61,54290,11938,26,0,0
26,57981,17603,16,0,0
76,45784,18087,24,0,1
64,47800,0,16,0,0
66,81434,2231,15,1,0
25,125250,4125,27,0,0
36,92263,5902,20,0,0
72,87134,11537,23,0,0
34,57372,1263,20,1,0
28,65020,2910,18,1,0
39,67095,7876,25,0,0
77,43711,13607,18,0,0
61,70313,4927,18,1,0
58,76916,4776,25,0,0
27,114797,5865,19,0,0
43,66981,4320,23,0,0
77,80320,13832,22,0,0
23,90203,4085,25,0,0
28,72738,8586,18,1,0
72,49815,4812,16,0,0
32,75183,1435,23,1,0
37,71304,4213,23,1,0
42,40842,3299,28,1,0
19,74114,4717,18,0,0
63,96525,7392,23,1,0
72,59260,3953,20,1,0
60,15000,6532,27,0,0
36,73073,3827,32,0,0
49,132385,9641,22,1,0
64,38411,10,21,0,0
52,55065,0,21,0,0
38,73540,5170,20,0,0
66,43809,2201,18,0,0
41,50398,13644,21,0,0
30,58996,6263,17,1,0
59,54030,12172,22,0,0
74,86967,8818,19,0,0
47,48472,5532,23,0,0
74,34522,1453,21,0,0
18,100811,4231,15,1,0
65,64643,10007,18,0,0
56,95707,0,19,0,0
62,129274,7133,17,0,0
32,58921,8403,15,0,0
20,53858,6168,21,0,0
45,76360,0,26,0,0
52,53599,4081,19,0,1
24,77629,11958,26,1,0
64,67082,17960,20,1,0
75,35990,15125,19,0,0
20,29913,2328,19,0,0
48,71471,0,18,1,0
50,77629,0,12,0,1
25,34583,22657,15,0,0
77,77657,16775,28,0,0
19,66469,11760,20,0,1
63,68351,1461,24,0,0
60,77509,4338,16,1,0
79,89669,6578,19,0,1
22,101187,11210,19,1,0
53,33391,14004,20,0,0
33,93858,18397,23,0,0
70,53759,7032,24,0,0
21,59095,0,20,0,0
66,103392,0,25,0,0
67,54997,21401,23,1,0
61,114032,4488,21,1,0
23,36787,8919,25,0,0
48,127381,10465,18,1,0
41,65106,6806,21,0,0
62,78895,0,25,0,1
79,30550,0,24,1,0
79,76960,0,26,0,0
78,82346,15170,24,0,0
44,76301,6569,18,1,0
25,104453,444,13,0,0
37,35056,0,19,0,0
26,57861,699,24,0,0
50,52195,22263,27,0,0
69,69989,9015,14,0,1
32,52857,13431,17,0,0
52,69871,12686,18,0,1
77,41200,7497,19,0,0
55,68079,11565,17,0,1
34,101532,5525,24,0,0
75,40696,13167,18,1,0
39,61031,0,15,0,0
75,15000,9883,14,1,0
54,15000,0,22,1,0
52,71309,0,22,0,0
65,96981,0,23,1,0
38,83991,0,21,1,0
79,32076,806,19,1,0
46,82160,1892,24,1,0
73,48025,8647,25,0,0
28,67076,3266,24,0,0
76,80688,0,15,0,0
55,75625,0,20,0,0
79,78561,9588,21,1,0
29,77205,8104,20,1,0
37,121123,10377,21,0,1
27,95325,9939,18,1,0
27,67171,5181,19,0,0
71,36799,1483,20,1,0
39,69037,0,13,1,0
75,45371,7566,18,1,0
33,59618,5583,20,1,0
23,89839,17942,12,1,0
24,48705,0,18,0,0
23,93035,19169,14,1,0
22,104117,0,16,1,0
78,68875,6650,26,1,0
53,56698,0,17,0,0
31,103042,0,23,0,0
74,65724,11237,20,0,0
18,51219,7407,16,1,0
29,68291,0,15,1,0
44,58719,7661,20,1,0
27,141731,0,23,0,0
33,51860,0,18,1,0
30,61633,13094,20,0,0
45,69488,10185,20,1,0
60,64888,11657,22,0,0
39,58685,0,16,0,0
46,30346,13473,22,1,0
35,69072,0,17,0,0
61,114966,0,20,0,0
38,81563,0,18,0,0
60,83530,18216,18,0,1
53,56134,3891,23,0,0
36,61758,11881,25,1,0
68,71919,16961,15,1,0
70,55811,5651,20,1,0
55,71909,11982,25,1,0
26,62836,704,24,0,0
59,75848,5522,15,0,0
62,56312,5570,24,0,0
71,80825,0,17,1,1
64,79241,6359,21,1,0
42,22047,16499,25,0,0
41,88284,16975,18,0,0
67,68899,2540,19,0,0
21,31980,0,22,1,0
49,76341,21786,23,0,0
73,76484,0,20,1,0
65,27703,0,21,1,0
49,26162,6106,18,0,0
34,72868,13949,25,1,0
42,54362,10052,28,1,0
51,61499,0,24,0,0
66,47201,6516,15,0,0
62,98191,6671,19,1,0
59,77018,4258,17,0,0
79,52768,6690,26,1,0
41,46323,7517,19,0,0
68,66722,2628,27,0,0
61,44607,1812,21,0,0
65,90653,0,20,1,0
27,61527,104,25,0,0
36,72922,1434,24,0,0
42,109948,10290,20,0,0
64,77582,0,26,0,0
59,15000,5733,22,1,0
40,74414,0,19,0,0
20,68715,2062,18,0,0
51,78821,13302,18,0,0
50,91895,7994,21,0,0
53,55200,5791,18,0,0
57,46925,11638,21,1,0
46,77865,2536,20,0,0
58,44034,5606,11,0,0
53,83647,20610,18,0,0
47,27712,12365,18,1,0
44,74700,14457,28,0,0
77,15000,8903,24,0,0
58,50305,7261,21,0,0
23,49127,8809,20,0,0
61,68156,2518,19,0,1
59,94057,13097,19,0,0
27,85534,6336,25,0,0
74,101612,4502,17,1,0
29,54841,0,32,0,1
33,67823,6838,25,0,0
79,56761,1792,12,0,0
78,49366,7822,21,0,0
31,76574,5321,19,0,0
56,76293,9047,17,0,0
51,49246,14643,25,1,0
74,43055,10771,20,0,0
33,65693,7634,18,1,0
63,117130,11704,18,0,0
30,64559,22574,14,0,0
77,15380,10919,26,1,1
58,80927,3056,20,1,0
35,72204,3918,19,1,0
67,83091,4877,14,0,1
21,32996,5849,23,0,0
52,24228,6032,17,0,0
56,59093,0,23,0,0
63,118731,0,15,1,1
69,86157,4006,20,1,0
27,52826,0,23,0,0
51,68005,2229,22,0,0
71,28873,13183,20,0,0
44,85081,11863,16,0,0
78,52356,3964,24,0,0
52,52558,5315,19,0,0
58,65710,14065,17,1,1
54,69437,0,17,1,1
48,86205,15856,17,0,0
20,89627,6996,17,0,0
72,58208,8857,16,0,0
78,46036,6485,14,1,0
61,86575,2561,19,0,0
53,62160,0,15,0,0
38,62977,8879,18,0,0
65,74712,22419,17,1,0
21,59970,9641,20,0,1
31,76857,0,19,1,0
42,65628,0,16,1,0
46,34918,10753,15,1,1
26,58800,15449,25,0,0
69,80712,4035,13,0,0
54,102511,17923,18,1,0
23,46243,8523,13,1,0
71,35884,13498,15,1,0
31,84662,7978,17,0,0
68,86847,13692,19,0,0
55,46693,12056,21,1,0
24,61332,129,22,1,0
73,81625,10825,14,1,0
19,89390,4381,25,0,0
62,95179,0,19,0,0
76,70880,0,19,0,0
53,77869,5014,25,0,0
51,68779,15494,28,1,0
37,66179,11377,26,1,0
36,83245,14933,21,0,0
28,34081,0,13,0,0
30,39699,15722,20,0,0
76,82222,4613,23,1,0
54,73403,6482,27,0,0
61,55547,9671,24,0,0
79,37373,8637,25,1,0
63,41053,2889,36,0,0
35,36090,5950,16,0,0
73,92947,10440,20,0,0
69,50852,12136,22,1,0
20,74907,9914,12,1,0
21,107487,4236,17,1,0
58,106750,1763,18,1,0
40,22843,8788,22,1,0
65,65180,0,24,1,0
23,75544,10983,22,0,0
37,70320,3694,19,0,0
41,15000,3272,17,1,0
63,110496,11749,15,0,0
