age,income,account_balance,transactions_last_30d,is_premium,target
55,47323,6664,23,0,0
20,68081,0,18,0,1
19,78710,3072,17,0,0
56,82638,9738,21,1,1
74,59397,0,29,0,0
23,27787,2510,21,0,0
70,66230,10745,13,0,0
46,90403,5480,20,0,0
68,33938,6343,20,0,0
79,67325,3045,21,1,0
41,81081,11433,17,0,0
29,90018,9670,22,1,0
27,65942,0,20,0,1
25,36547,0,14,0,0
77,76939,10903,19,0,0
60,59174,19647,22,0,0
57,78668,11508,20,0,0
33,47178,9741,17,0,0
72,96954,3937,24,1,1
59,47945,4297,15,0,0
33,55841,0,19,1,0
50,66233,2803,12,0,0
40,60518,4304,16,1,0
76,66551,15767,16,0,0
69,24701,7775,23,0,0
70,117218,2409,27,1,0
75,73074,0,29,1,0
54,70328,15194,17,1,0
28,41212,15411,17,0,1
42,90197,20477,17,0,0
55,54298,9262,18,0,0
76,69220,15289,12,0,0
30,24435,9267,19,1,1
54,51797,6593,19,1,0
56,90458,951,23,1,0
37,66616,16618,23,1,0
36,61939,19388,17,0,0
20,126359,16139,20,0,0
57,67089,2046,20,0,0
61,65202,10818,26,0,0
31,15000,788,19,0,0
25,64445,0,25,0,0
39,89449,4069,12,0,0
76,67630,9713,17,1,0
52,35273,4628,17,1,1
45,72229,3843,10,0,0
28,83317,3627,22,0,0
20,46146,5726,19,1,0
71,56371,16073,20,0,0
22,83111,2664,13,0,0
65,71774,0,22,0,0
63,41040,0,23,0,0
67,80990,0,19,1,0
39,77338,13753,22,1,0
78,63687,14631,19,0,0
60,92938,10545,23,1,0
65,66199,385,14,1,0
48,98824,4060,18,1,1
33,61393,0,20,0,0
77,58087,8678,26,0,0
28,100463,5565,23,0,1
21,95338,3097,25,1,0
20,56209,11529,17,0,0
64,69997,7003,24,1,0
18,64997,2823,21,0,0
77,37074,3797,15,0,0
79,132100,4956,16,0,0
23,42699,17549,17,0,0
44,69764,5824,7,1,1
43,77584,3039,20,0,0
18,131103,4786,17,1,0
57,46424,12732,15,0,0
71,91975,15157,23,0,1
78,106861,6236,19,0,0
46,60473,3041,18,1,0
59,132911,5868,20,0,1
45,81459,3321,20,0,0
36,86697,10447,19,0,0
42,53369,10596,18,0,0
64,64237,16036,21,0,0
40,95178,16606,24,0,0
48,56948,2637,20,0,0
55,49976,5086,21,0,0
51,82474,7700,17,0,0
52,82741,6980,17,0,0
23,89357,604,17,0,1
44,101826,16088,16,0,0
67,78694,11627,19,1,1
36,139477,5564,15,0,1
45,123971,582,20,0,0
43,79390,7942,26,1,0
61,61393,10918,21,0,1
71,44956,488,21,0,0
46,100475,9932,19,1,0
35,56937,0,28,1,0
76,111474,24643,21,0,0
35,35708,0,17,0,0
18,53237,9742,15,0,1
71,114557,0,20,0,0
41,45824,3836,29,1,0
68,79813,0,22,1,0
53,71135,0,22,0,0
23,42753,7314,25,0,1
19,46519,7044,17,0,1
52,72082,5666,15,0,0
36,36588,9579,19,0,0
77,32202,13667,24,0,0
41,47869,12727,17,0,0
52,99904,0,24,0,1
47,105210,2496,20,0,0
65,80948,11673,24,0,0
36,37949,11401,16,1,0
53,84441,9254,20,1,0
77,49469,9252,20,0,1
74,52450,0,15,0,0
52,97390,0,8,0,0
63,82302,10965,19,1,0
25,50338,5581,17,0,0
26,111971,5086,20,0,0
73,15333,0,22,0,0
63,89400,4926,16,0,0
56,67305,7869,32,1,0
31,58044,17068,19,1,1
44,34321,294,15,0,0
45,93339,14023,24,0,0
76,33239,0,19,0,0
58,95442,12826,18,0,0
78,89705,0,14,1,0
33,64436,7477,26,0,0
78,32989,13015,15,0,0
59,48768,1562,19,1,1
54,67792,6418,20,0,0
26,66126,0,19,1,0
62,47873,2462,18,0,1
62,29230,4125,25,0,0
63,58499,0,18,0,0
46,57391,266,16,1,0
61,108149,4914,13,1,0
75,65192,6267,12,1,0
66,44131,4233,17,1,0
45,104654,0,31,0,0
36,52029,17289,13,0,0
78,39100,6586,26,1,0
64,45177,0,17,0,0
56,36090,3943,17,0,0
79,75629,3389,15,1,1
38,98927,1607,26,0,0
43,102457,11728,15,0,0
27,41764,5124,19,1,0
20,69631,0,19,0,0
39,88826,12179,22,0,1
32,46598,2809,22,0,0
70,56684,0,24,0,0
42,90022,0,12,0,0
