age,income,account_balance,transactions_last_30d,is_premium,target
39,46819,10108,19,0,0
68,101180,11775,17,0,1
24,36948,778,20,1,0
18,70582,0,22,0,0
49,35185,8392,13,1,0
29,34898,3890,21,0,0
38,59658,17516,25,0,1
60,55360,3862,11,0,1
72,50114,2877,14,1,1
24,111938,9589,13,1,0
55,38310,7711,11,0,0
34,79338,6143,25,0,0
57,109905,9715,19,0,0
68,75339,0,20,0,0
63,64443,2352,21,0,0
71,78423,13526,26,1,1
77,83067,6677,19,1,0
46,67484,14578,20,0,1
52,37390,5957,26,1,0
63,80664,0,23,0,0
76,84186,11451,24,1,1
57,103334,3349,23,0,0
54,82403,9571,17,1,0
65,83976,2305,18,0,0
79,106149,7915,12,1,1
28,52702,7104,21,0,0
34,68191,26390,19,0,0
34,83495,4188,24,0,0
78,78899,7514,17,0,0
19,80042,6776,23,0,0
65,82553,10606,21,1,0
18,77549,0,19,0,0
44,78940,13849,23,0,0
77,52944,5309,17,1,0
56,63375,12376,8,1,0
66,115662,15297,16,0,0
71,65117,5797,18,1,0
56,53264,9439,26,0,0
58,68833,1503,17,1,0
41,72743,8610,33,0,0
54,62759,15309,22,0,0
25,117746,3569,13,0,0
58,52199,7530,9,0,1
39,18638,7531,20,1,0
21,64523,11140,25,0,0
49,74914,3974,19,0,0
34,75088,18926,15,0,0
75,44793,8687,17,0,0
29,89253,18152,15,0,0
43,92774,17345,24,1,1
21,64050,6938,21,1,0
48,33778,8863,27,1,0
40,70122,15638,19,0,0
35,71783,4524,21,0,0
57,106672,10325,21,0,1
62,42820,6526,22,1,0
69,66213,4500,23,1,1
55,78786,21395,11,0,1
34,94906,8209,14,1,0
70,74513,12713,23,1,0
23,40723,0,17,0,0
33,72958,7851,12,0,0
31,83276,0,20,0,0
46,80276,18746,22,0,0
30,45539,835,13,0,0
71,42925,0,23,1,1
59,79644,12512,23,0,0
66,148787,8421,29,0,1
33,56379,12375,29,0,1
70,91111,12547,20,1,0
63,71003,12901,32,0,0
53,91462,1158,20,1,0
51,69064,12454,19,1,0
77,56115,0,10,1,0
36,118383,11656,15,1,0
58,25655,5348,21,0,0
47,67919,7370,30,1,1
63,66095,1878,19,0,0
18,74105,14209,20,0,0
54,77460,9513,27,0,0
76,133188,3231,12,1,1
57,40856,2710,26,1,0
46,81915,8308,21,0,0
76,35332,13393,29,1,1
39,134774,0,19,0,0
76,82421,16186,20,0,0
31,40899,0,23,0,0
18,86638,1142,14,1,1
47,22621,11622,25,1,0
49,82542,16632,21,0,0
36,105104,1038,24,1,1
59,63874,11306,21,1,0
78,70289,7917,21,0,0
37,32403,0,19,0,0
46,17618,7214,28,0,0
76,94125,9399,21,0,1
55,113181,4959,13,0,0
78,72965,14107,18,0,0
61,65380,6470,31,0,0
18,79651,14326,19,0,0
59,93992,4882,19,0,0
66,98432,7863,19,0,0
36,68275,7771,16,0,0
19,98751,2998,15,0,0
78,67365,10147,15,1,0
33,63875,8554,20,1,0
62,109821,0,22,0,1
48,66752,635,19,0,0
62,92638,0,19,1,1
68,70918,5807,18,0,0
72,66291,7767,23,1,0
71,90960,33,26,0,1
22,93571,13858,16,0,0
61,107513,20,28,0,0
25,43140,0,21,0,0
60,61004,0,20,1,0
77,68620,16672,20,0,1
51,64612,48,17,0,0
26,68433,23658,12,1,0
57,88883,4342,15,0,0
40,71372,1908,27,1,0
78,74436,0,15,1,0
24,49008,10127,11,0,0
37,54638,0,19,1,1
72,46016,0,17,1,0
20,54932,6484,19,1,0
54,58606,0,24,0,0
35,106260,9791,14,1,1
55,49612,1445,23,1,0
51,42588,13135,17,1,1
53,61374,6021,24,0,0
39,78215,5703,19,0,0
79,77859,0,21,1,0
59,116839,5991,19,0,0
31,91524,8235,27,0,0
79,68127,13527,15,0,0
52,110114,7996,16,1,0
30,104964,9037,22,0,0
29,51414,8755,28,1,0
40,47563,21769,23,1,1
70,48207,2806,19,0,0
68,136172,8247,18,0,0
72,90307,12118,24,1,0
19,72948,9783,15,1,0
50,90068,0,16,0,0
44,59439,9751,16,0,0
64,41794,14745,16,0,0
45,89218,2517,21,0,0
32,78031,7269,16,1,0
69,68093,6210,29,0,1
21,74171,1536,18,1,0
58,50719,14280,22,0,0
34,42570,4389,19,0,0
69,40603,13632,15,0,0
61,38986,0,16,0,1
31,73000,0,28,0,0
68,62103,4350,21,0,0
43,66090,8263,15,0,0
29,74103,0,20,0,0
47,71139,10143,18,1,0
31,66942,20979,23,0,0
60,75227,5393,16,1,0
27,101855,0,26,1,0
77,112975,6259,20,0,0
32,15000,350,16,0,0
41,115424,15917,25,1,1
29,70773,197,20,0,1
60,30536,6343,15,0,1
46,52662,0,21,0,0
58,18640,0,19,1,1
62,62619,3084,22,1,0
60,71047,6578,20,1,1
36,89868,7579,14,0,0
20,59783,6128,22,0,0
79,44670,11034,24,1,1
75,101677,12059,16,0,0
40,70594,5468,26,1,0
26,121378,12919,29,0,1
37,42742,12965,20,0,0
32,61252,6102,22,0,0
34,53609,0,22,1,0
34,75800,0,20,0,0
40,79787,0,23,1,0
50,38524,6489,21,0,0
53,46972,2292,15,0,0
79,61983,17839,22,0,0
55,87604,836,31,0,0
52,73437,17097,20,1,1
69,76679,10488,29,0,0
68,56363,863,15,0,0
19,65423,7616,20,0,0
58,104590,925,22,0,0
21,89931,7402,24,0,0
47,45009,6418,19,0,0
39,95590,8537,16,1,0
45,95729,5820,23,0,0
54,66750,21047,20,0,1
31,113345,0,21,0,0
56,42724,10831,9,1,0
39,142306,10272,24,1,1
60,45687,17298,11,0,0
24,138373,5787,13,1,1
41,100550,5642,24,0,0
66,77387,15112,17,0,1
34,64121,4374,22,0,0
52,69118,1865,26,0,0
75,55499,12069,23,0,0
59,89089,16991,19,1,0
18,70763,12017,15,0,0
71,56789,0,16,0,0
35,43764,0,11,0,0
67,88822,6398,25,1,0
56,95152,6486,23,0,0
70,103902,14095,21,0,0
37,54804,4855,27,1,0
59,95652,7338,24,1,0
72,73077,0,30,0,0
71,67419,10621,23,1,1
41,127654,2497,17,0,1
19,71403,1890,19,0,0
79,78534,372,22,0,0
37,57323,3857,18,0,0
57,101047,7609,21,0,0
20,68102,0,15,0,0
39,110404,2999,17,1,1
18,64442,0,19,1,1
45,66813,15885,27,0,0
41,81974,1223,26,0,0
71,87422,0,15,0,0
58,62607,5119,27,1,1
66,82846,16080,12,1,0
57,56856,6909,20,0,0
68,100511,7588,25,0,1
66,64704,1242,20,1,0
73,71565,13783,29,1,1
50,31988,0,15,0,0
79,74271,0,22,0,0
50,59532,2738,26,1,0
32,51043,11337,20,1,1
62,15000,5674,23,0,0
75,88434,3673,20,1,1
72,106084,1687,23,0,0
68,66961,15589,9,0,1
23,77483,0,21,0,0
51,69483,12481,14,0,0
25,82598,4735,23,0,0
75,82972,7993,21,0,0
67,70863,0,15,0,0
26,70885,1132,21,1,0
49,84709,1055,24,0,0
44,97427,5076,22,0,1
68,82510,4549,20,0,0
45,58193,0,18,1,0
77,60777,8012,20,0,0
66,64233,11283,17,0,0
50,87264,0,11,1,0
59,87459,7314,23,0,1
74,69184,1575,20,0,0
42,29113,276,20,0,0
42,66438,6073,16,1,0
74,64142,11657,19,0,0
63,103738,0,20,0,1
25,36879,8176,18,0,0
41,83241,0,23,0,0
37,77680,0,16,1,0
79,62339,5240,26,0,0
24,62398,14221,25,0,0
39,71602,3472,17,1,0
26,56920,0,19,1,0
58,49781,11775,21,0,0
50,136970,2391,25,0,1
50,64906,0,14,0,0
29,93787,11901,25,0,0
71,43271,2724,24,1,0
78,52499,1228,19,0,0
24,59513,5317,21,0,0
25,77843,9559,17,0,0
26,50536,18086,18,0,0
34,78890,8249,18,0,0
77,93525,5378,17,0,0
69,79997,2668,17,0,0
30,37618,10393,20,0,0
51,47095,9416,18,0,0
65,39651,17879,23,0,0
53,55429,0,20,0,1
18,91190,0,24,0,0
61,53661,0,16,1,0
65,23386,11234,19,1,0
21,68218,0,21,0,0
50,87067,4229,26,0,0
74,53633,3970,24,0,1
40,73023,453,17,0,0
34,96327,0,27,0,0
28,93511,7758,21,1,1
58,92962,9693,23,1,0
62,66968,0,20,0,0
52,63310,0,23,0,0
64,57842,4753,25,1,1
31,88102,3656,24,1,1
23,56285,14412,22,0,0
57,92631,8327,24,0,1
63,61255,11878,25,0,0
28,26903,6504,26,1,0
76,52964,3774,12,1,0
49,61291,8472,23,0,0
65,91263,0,23,1,0
49,106840,1691,23,1,1
74,59742,3875,20,0,0
26,44628,12460,20,0,0
73,51667,4005,24,0,0
53,53917,9621,19,0,0
66,73268,11916,21,0,0
32,69201,6757,23,0,0
58,90038,13618,20,0,0
63,83553,8786,17,0,0
37,64784,10802,23,0,0
62,72325,9350,20,0,0
33,85900,13618,16,0,0
61,61453,0,18,0,0
75,81087,0,18,1,1
48,40891,9966,23,1,1
24,63076,6060,19,0,0
79,69821,0,22,1,1
58,34532,367,15,0,0
24,35101,17160,24,0,0
61,55592,3934,19,1,0
67,127951,16182,15,1,1
31,46405,10644,22,1,1
69,71879,8740,17,1,0
57,81413,6555,16,0,0
79,78226,3820,17,0,0
71,102337,0,15,0,1
49,78835,6360,8,1,0
68,81796,9158,17,0,0
19,54886,13190,14,1,0
67,69867,0,17,0,0
22,107482,7783,24,0,0
23,78336,9257,20,1,1
67,37988,2840,19,0,0
29,78732,7302,18,0,0
25,58432,8104,18,0,0
48,63295,0,15,0,0
68,39018,1395,24,0,0
29,33894,433,22,1,0
59,146231,21169,22,0,0
54,93751,4266,19,1,1
79,69959,7154,16,0,0
52,42460,0,15,1,0
45,92941,0,20,0,1
70,55440,8456,27,0,0
21,78683,10556,33,0,0
65,102112,7891,25,1,1
38,87371,15014,27,1,0
28,34653,2668,29,0,0
65,92879,2148,15,1,0
61,90434,1676,22,0,1
54,26394,6461,22,0,0
29,68193,12067,16,0,1
37,97195,8305,10,1,1
56,68000,9089,21,1,1
41,84917,0,23,1,0
73,85725,0,21,0,0
37,69516,7049,14,1,0
52,53229,23749,20,1,0
33,83285,0,25,0,0
58,53479,3301,14,0,0
34,134625,4372,19,0,1
53,65934,19734,18,1,0
71,97497,2077,13,1,1
32,95843,5215,30,1,0
42,16178,7143,19,0,0
40,66710,266,15,0,0
22,149892,14399,13,1,1
21,55599,10785,24,1,1
77,68275,0,17,0,0
36,60175,12814,34,1,0
33,68928,11414,15,1,0
20,78284,13308,26,0,0
42,34571,8687,17,0,0
77,96903,6214,19,1,1
73,95021,17219,23,1,1
45,97564,12329,25,0,0
35,52912,3795,29,0,0
76,54031,8466,19,0,0
75,81081,1638,19,0,1
46,78197,15339,22,1,1
35,43766,7081,21,1,1
41,96335,8177,17,0,0
47,103504,1647,22,0,0
69,83240,0,20,0,0
64,65962,15632,21,1,0
69,56608,4402,13,0,0
62,90283,11481,14,0,1
71,104475,17673,26,0,1
27,73507,0,21,0,0
54,40739,10501,23,1,0
41,128891,764,22,0,0
41,72653,8282,26,0,0
63,61069,0,15,1,1
22,69606,2431,16,0,0
36,85861,0,19,0,0
42,90605,278,17,1,0
22,75695,11193,17,1,0
45,47675,11582,15,0,0
71,47811,6784,15,1,0
76,37750,4320,21,0,0
65,90369,7279,33,1,1
75,80160,19668,20,0,0
52,78608,9315,19,1,1
26,87210,5993,31,1,1
